"Package","Version","Built"
"GGally","2.4.0","4.5.3"
"MCMCpack","1.7-1","4.5.3"
"MatrixModels","0.5-4","4.5.3"
"MixSIAR","3.1.12","4.5.3"
"R2WinBUGS","2.1-24","4.5.3"
"R2jags","0.8-9","4.5.3"
"R6","2.6.1","4.5.3"
"RColorBrewer","1.1-3","4.5.2"
"Rcpp","1.1.2","4.5.3"
"S7","0.2.2","4.5.3"
"SparseM","1.84-2","4.5.3"
"abind","1.4-8","4.5.2"
"backports","1.5.1","4.5.3"
"bayesplot","1.16.0","4.5.3"
"bit","4.6.0","4.5.3"
"bit64","4.8.6","4.5.3"
"checkmate","2.3.4","4.5.3"
"cli","3.6.6","4.5.3"
"clipr","0.8.1","4.5.3"
"coda","0.19-4.1","4.5.3"
"cpp11","0.5.5","4.5.3"
"crayon","1.5.3","4.5.3"
"distributional","0.9.0","4.5.3"
"dplyr","1.2.1","4.5.3"
"farver","2.1.2","4.5.3"
"forcats","1.0.1","4.5.3"
"generics","0.1.4","4.5.3"
"ggdist","3.3.3","4.5.3"
"ggmcmc","1.5.1.2","4.5.3"
"ggplot2","4.0.3","4.5.3"
"ggridges","0.5.7","4.5.3"
"ggstats","0.14.0","4.5.3"
"glue","1.8.1","4.5.3"
"gtable","0.3.6","4.5.3"
"hms","1.1.4","4.5.3"
"isoband","0.3.0","4.5.3"
"labeling","0.4.3","4.5.2"
"lifecycle","1.0.5","4.5.3"
"loo","2.10.1","4.5.3"
"magrittr","2.0.5","4.5.3"
"matrixStats","1.5.0","4.5.3"
"mcmc","0.9-8","4.5.3"
"numDeriv","2016.8-1.1","4.5.2"
"patchwork","1.3.2","4.5.3"
"pillar","1.11.1","4.5.3"
"pkgconfig","2.0.3","4.5.3"
"plyr","1.8.9","4.5.3"
"posterior","1.7.0","4.5.3"
"prettyunits","1.2.0","4.5.3"
"progress","1.2.3","4.5.3"
"purrr","1.2.2","4.5.3"
"quadprog","1.5-8","4.5.2"
"quantreg","6.1","4.5.3"
"readr","2.2.0","4.5.3"
"renv","1.2.4","4.5.3"
"reshape","0.8.10","4.5.3"
"reshape2","1.4.5","4.5.3"
"rjags","4-17","4.5.3"
"rlang","1.3.0","4.5.3"
"scales","1.4.0","4.5.3"
"sp","2.2-3","4.5.3"
"splancs","2.01-45","4.5.3"
"stringi","1.8.9","4.5.3"
"stringr","1.6.0","4.5.3"
"tensorA","0.36.2.1","4.5.2"
"tibble","3.3.1","4.5.3"
"tidyr","1.3.2","4.5.3"
"tidyselect","1.2.1","4.5.3"
"tzdb","0.5.0","4.5.3"
"utf8","1.2.6","4.5.3"
"vctrs","0.7.3","4.5.3"
"viridisLite","0.4.3","4.5.3"
"vroom","1.7.1","4.5.3"
"withr","3.0.3","4.5.3"
"KernSmooth","2.23-26","4.5.3"
"MASS","7.3-65","4.5.3"
"Matrix","1.7-4","4.5.3"
"base","4.5.3","4.5.3"
"boot","1.3-32","4.5.3"
"class","7.3-23","4.5.3"
"cluster","2.1.8.2","4.5.3"
"codetools","0.2-20","4.5.3"
"compiler","4.5.3","4.5.3"
"datasets","4.5.3","4.5.3"
"foreign","0.8-91","4.5.3"
"grDevices","4.5.3","4.5.3"
"graphics","4.5.3","4.5.3"
"grid","4.5.3","4.5.3"
"lattice","0.22-9","4.5.3"
"methods","4.5.3","4.5.3"
"mgcv","1.9-4","4.5.3"
"nlme","3.1-168","4.5.3"
"nnet","7.3-20","4.5.3"
"parallel","4.5.3","4.5.3"
"rpart","4.1.24","4.5.3"
"spatial","7.3-18","4.5.3"
"splines","4.5.3","4.5.3"
"stats","4.5.3","4.5.3"
"stats4","4.5.3","4.5.3"
"survival","3.8-6","4.5.3"
"tcltk","4.5.3","4.5.3"
"tools","4.5.3","4.5.3"
"translations","4.5.3","4.5.3"
"utils","4.5.3","4.5.3"
