Code;Municipality;Species;Trophic guild;Group;THg;NT;d15N;CT;d13C
NA;Mecaya;NA;NA;Detritus;NA;14.717.913;2.311;135.310.817;-31.343
NA;Mecaya;NA;NA;Detritus;NA;0.6746363;1.06;135.740.797;-30.034
NA;Mecaya;NA;NA;Detritus;NA;0.8486581;0.867;115.829.619;-30.917
NA;Mecaya;NA;NA;Detritus;NA;0.5377713;2.218;84.219.941;-30.552
NA;Mecaya;NA;NA;Detritus;NA;12.619.058;-0.071;149.530.792;-30.754
NA;Mecaya;NA;NA;Detritus;NA;1.777.753;0.787;8.916.534;-31.816
NA;Curillo;NA;NA;Detritus;NA;16.174.988;2.824;14.585.885;-30.587
NA;Curillo;NA;NA;Detritus;NA;12.107.621;0.136;98.150.484;-30.881
NA;Curillo;NA;NA;Detritus;NA;0.5892765;1.284;105.441.107;-24.544
NA;Curillo;NA;NA;Detritus;NA;0.5962591;4.803;61.119.711;-28.336
NA;Curillo;NA;NA;Detritus;NA;0.9615683;1.224;136.324.477;-28.076
NA;Curillo;NA;NA;Detritus;NA;0.4406648;0.154;75.133.836;-30.918
NA;Curillo;NA;NA;Detritus;NA;0.6233545;0.308;113.003.017;-31.279
NA;Curillo;NA;NA;Detritus;NA;25.785.954;3.325;120.229.818;-30.728
BD190;Mecaya;Fish_stomach_content;NA;Detritus;NA;56.169.372;6.23;284.508.036;-23.08
BD191;Mecaya;Fish_stomach_content;NA;Detritus;NA;13.145.963;4.69;288.955.124;-26.464
BD19;Mecaya;Fish_stomach_content;NA;Detritus;NA;12.275.912;3.752;530.421.357;-28.019
BD81;Mecaya;Fish_stomach_content;NA;Detritus;NA;2.918.889;7.87;479.215.913;-31.551
BD30;Mecaya;Fish_stomach_content;NA;Detritus;NA;10.605.532;4.987;309.570.829;-33.942
BD87;Curillo;Fish_stomach_content;NA;Detritus;NA;26.568.309;6.112;354.685.701;-23.036
BD174;Curillo;Fish_stomach_content;NA;Detritus;NA;22.788.853;4.495;330.363.558;-28.711
BD175;Curillo;Fish_stomach_content;NA;Detritus;NA;23.863.085;4.844;299.206.478;-29.761
BD177;Curillo;Fish_stomach_content;NA;Detritus;NA;18.306.374;5.513;280.134.363;-24.768
BD86;Curillo;Fish_stomach_content;NA;Detritus;NA;25.897.074;7.228;355.797.144;-25.969
BD100;Curillo;Fish_stomach_content;NA;Detritus;NA;2.156.758;6.198;341.450.564;-24.718
BD188;Curillo;Fish_stomach_content;NA;Detritus;NA;12.123.819;2.97;250.209.429;-25.912
BD189;Curillo;Fish_stomach_content;NA;Detritus;NA;0.9105247;3.909;309.833.775;-25.632
BD196;Curillo;Fish_stomach_content;NA;Detritus;NA;10.642.514;3.517;220.768.782;-24.197
BD23;Curillo;Fish_stomach_content;NA;Detritus;NA;110.178.009;6.838;382.249.601;-31.843
BD24;Curillo;Fish_stomach_content;NA;Detritus;NA;27.451.509;7.388;385.237.155;-32.545
BD16;Curillo;Fish_stomach_content;NA;Detritus;NA;46.805.807;5.4;20.359.772;-33.898
BD17;Curillo;Fish_stomach_content;NA;Detritus;NA;30.232.285;5.067;171.708.786;-33.993
BD46;Curillo;Fish_stomach_content;NA;Detritus;NA;62.413.515;6.504;40.794.093;-32.873
BD78;Curillo;Fish_stomach_content;NA;Detritus;NA;24.360.289;8.385;264.368.387;-28.218
BD80;Curillo;Fish_stomach_content;NA;Detritus;NA;31.137.886;7.39;277.569.744;-28.421
BD122;Curillo;Fish_stomach_content;NA;Detritus;NA;23.340.768;2.714;391.415.092;-26.189
BD124;Curillo;Fish_stomach_content;NA;Detritus;NA;16.119.489;4.173;333.578.631;-26.325
BD179;Curillo;Fish_stomach_content;NA;Detritus;NA;15.611.099;5.705;189.280.191;-25.168
BD110;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;4.168.082;6.627;312.702.849;-27.836
BD111;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;34.522.599;6.07;443.638.598;-25.026
BD125;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.4477548;4.025;190.629.537;-25.457
BD135;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.8660335;6.585;2.266.693;-25.572
BD137;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;12.993.827;8.72;265.331.343;-24.688
BD139;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;12.809.778;4.059;219.653.183;-25.468
BD141;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.7722334;5.347;416.310.076;-24.801
BD146;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;11.648.039;3.403;290.119.217;-24.5
BD152;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;18.575.748;5.008;240.240.244;-26.2
BD153;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;12.273.473;3.583;245.477.205;-25.739
BD154;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;14.067.438;4.278;249.018.591;-25.973
BD182;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.8322674;9.962;290.388.874;-24.536
BD187;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.8429265;4.417;281.766.913;-23.764
BD138;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;13.987.942;9.868;255.939.136;-25.757
BD138;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;14.286.996;11.434;418.847.529;-25.561
BD155;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.6936391;3.463;246.632.208;-24.881
BD206;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.5250662;12.988;244.968.106;-25.786
BD208;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.367129;4.826;172.157.237;-24.72
BD210;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.7024086;5.408;419.629.254;-24.127
BD211;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.5716277;4.531;389.784.115;-23.921
BD50;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.7016171;1.658;230.875.003;-25.641
BD61;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.9595823;8.294;271.433.107;-24.304
BD126;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;26.446.722;12.266;304.489.116;-24.634
BD164;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;1.384.613;5.83;18.482.278;-28.682
BD165;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;14.058.781;5.524;146.210.578;-29.518
BD193;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.692544;4.429;163.409.036;-26.349
BD113;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;1.449.814;6.882;38.373.425;-24.311
BD113;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;15.178.019;10.021;330.850.331;-25.076
BD218;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;17.483.146;8.935;245.219.839;-26.15
BD65;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;18.275.643;5.498;301.721.397;-25.412
BD57;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;14.574.084;4.75;335.086.134;-24.876
BD73;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;0.9674696;3.76;411.884.112;-24.668
BD166;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;26.999.008;5.405;229.842.768;-26.238
BD167;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;25.871.203;9.486;436.482.389;-25.586
BD199;San Antonio de Getuchá;Fish_stomach_content;NA;Detritus;NA;3.607.797;7.943;462.093.225;-26.632
BD45;Mecaya;Fish_stomach_content;NA;Detritus;NA;114.080.388;5.085;211.067.311;-29.57
BD82;Mecaya;Fish_stomach_content;NA;Detritus;NA;16.908.525;9.874;320.374.973;-25.564
BD148;Mecaya;Fish_stomach_content;NA;Detritus;NA;19.636.541;6.462;340.046.856;-26.091
BD149;Mecaya;Fish_stomach_content;NA;Detritus;NA;17.732.664;6.929;201.719.017;-24.93
BD178;Mecaya;Fish_stomach_content;NA;Detritus;NA;121.424;4.119;258.383.266;-25.126
BD192;Mecaya;Fish_stomach_content;NA;Detritus;NA;0.7941336;11.001;104.153.469;-26.82
BD32;Mecaya;Fish_stomach_content;NA;Detritus;NA;101.832.655;4.705;379.411.358;-26.077
F1;Mecaya;NA;NA;Phytoplankton;NA;10.289.696;2.532;85.314.653;-32.32
F2;Mecaya;NA;NA;Phytoplankton;NA;2.043.412;2.313;126.340.709;-35.944
F3;Curillo;NA;NA;Phytoplankton;NA;18.421.566;3.424;139.584.288;-35.565
BD31;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;14.244.496;5.756;355.055.847;-24.845
BD63;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;33.501.841;2.926;385.801.353;-26.029
BD64;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;19.132.209;2.699;380.507.357;-27.16
BD88;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;35.821.528;6.482;379.273.237;-25.016
BD89;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;35.288.749;6.251;441.801.716;-25.024
BD108;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;36.704.546;8.381;304.955.654;-24.501
BD131;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;26.230.805;3.227;334.446.446;-23.645
BD132;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;0.7419989;4.996;141.772.487;-25.673
BD140;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;10.531.843;4.822;331.344.936;-24.335
BD195;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;11.404.403;1.782;206.894.546;-25.699
BD115;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;35.582.502;3.152;471.346.127;-25.837
BD121;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;23.479.171;2.139;464.111.605;-26.777
BD123;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;24.647.461;1.45;283.709.685;-26.55
BD127;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;10.734.203;4.856;255.605.066;-25.739
