mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff,parameter
166.4635200625485,3.9427433300691455,160.79153350869564,163.62274681617825,165.7096089010482,168.60735023380974,175.83421991681644,1.0018128847767882,1500,deviance
-2.1498342923187854,0.20236541100148966,-2.553321419089108,-2.2784763054666,-2.1441062974805916,-2.016392028860519,-1.7595478731215455,1.001038960591154,3000,loglik[1]
-2.269018043114434,0.1765874799363788,-2.627261798942094,-2.386422934166892,-2.261865060332502,-2.1484368361039516,-1.9334141676821472,1.0007287590955158,3000,loglik[2]
-2.945444246513023,0.27646466495316857,-3.5546896100020366,-3.107067289823253,-2.917844940353681,-2.757282320151776,-2.48574667904125,1.000597313614493,3000,loglik[3]
-2.657927459740846,0.21873289226451698,-3.129565848033586,-2.7883595336747065,-2.6484321493231024,-2.5123512248585045,-2.262244029733791,1.0005454378458853,3000,loglik[4]
-4.4256532439999035,0.42832971625720684,-5.369534683377346,-4.678381380423991,-4.370509304036682,-4.132025249486437,-3.709937307780642,1.0006874153502299,3000,loglik[5]
-2.231403394131094,0.2081841351833513,-2.6527359391435312,-2.367407204151765,-2.2238280817243083,-2.092641982702269,-1.8304580238569423,1.0006681424625294,3000,loglik[6]
-2.075795442796166,0.19777003243203575,-2.4729833708542692,-2.2045067938545273,-2.0709449130756363,-1.9418097544929993,-1.7116429405696953,1.0005627740134153,3000,loglik[7]
-3.4226831049211954,0.2649769534250761,-3.989013811458675,-3.580781820818347,-3.39969504897505,-3.240024546580625,-2.958019866747073,1.0015028322394153,2000,loglik[8]
-3.5034567063157023,0.27985978683281204,-4.11160802823642,-3.6715333642977672,-3.478648125692713,-3.310334120091929,-3.0191818030511794,1.001552480032506,1900,loglik[9]
-3.1718356037693827,0.2763048682836301,-3.7980074749026795,-3.3284343115584067,-3.1368955406712873,-2.976495198910729,-2.7344677158851334,1.0006341126045333,3000,loglik[10]
-3.993678317316147,0.4323394756995199,-4.966388219201987,-4.238292748731864,-3.949212251161967,-3.690238612534413,-3.2862984052506965,1.0006019656103415,3000,loglik[11]
-2.7408184282679713,0.21474325893300128,-3.2333665450693094,-2.863664496837798,-2.720043764100911,-2.5967494726082636,-2.36698306144818,1.001089746433911,3000,loglik[12]
-3.218419723855095,0.2508480410915094,-3.779024588317923,-3.3649348281419713,-3.191739015028669,-3.0452029580470934,-2.7985305902687774,1.0006223177707951,3000,loglik[13]
-2.1274875315770894,0.18891334603877605,-2.5090013956156527,-2.2546105814525017,-2.122527860615828,-2.001524244945887,-1.772711657359515,1.0005650000086894,3000,loglik[14]
-2.2888680439032174,0.2111527532056272,-2.712207184534966,-2.4250915807170834,-2.2806182755027207,-2.144375132332641,-1.884675108938022,1.0007936992264028,3000,loglik[15]
-2.630744787771454,0.21147355489252181,-3.069483450339436,-2.776066078933071,-2.6200984240745866,-2.4852911840582914,-2.229413052178712,1.001144165560337,3000,loglik[16]
-2.058313701124392,0.2083162627724778,-2.472130605978475,-2.1919200778966146,-2.0508886426356954,-1.9160248232787747,-1.6679620517961782,1.0005827569190116,3000,loglik[17]
-2.1987757806128974,0.18137895749401886,-2.569252747826933,-2.3161770651157636,-2.19398000597875,-2.0762359110133435,-1.863432231502083,1.0006863824424195,3000,loglik[18]
-2.1276318760669293,0.19779136553815613,-2.5285747151275038,-2.254848086598506,-2.1228953300553774,-1.9956617080410628,-1.7537827803891168,1.0011261771639712,3000,loglik[19]
-3.319398108163921,0.24971909035480586,-3.8565868709150477,-3.468478823766182,-3.3000883892833666,-3.14677178098667,-2.874485866796469,1.001438083467576,2100,loglik[20]
-2.325291494503271,0.21168560276673773,-2.754332999853349,-2.4637977703548937,-2.3192240781984563,-2.1809984776811255,-1.9163593024049912,1.0008529198589362,3000,loglik[21]
-2.1375690038148263,0.18840192485889476,-2.521733845699589,-2.2652412937082183,-2.1315669545281524,-2.011001829298754,-1.779764385647835,1.0005518483178335,3000,loglik[22]
-2.992716148396206,0.2388774612943379,-3.4969595739219925,-3.1396886764991123,-2.979623589844132,-2.827559706913709,-2.5544298902899487,1.0015305706475268,1900,loglik[23]
-6.5964603028696756,0.7965499831514554,-8.38187168454781,-7.058083921112148,-6.509086074952778,-6.036450385907095,-5.299119122997178,1.0010221237600858,3000,loglik[24]
-2.9336361100564856,0.27103464737701727,-3.518577357873376,-3.0989229018541122,-2.9186451433621254,-2.744835212799502,-2.453416325355284,1.0016238688063543,1800,loglik[25]
-3.621876159036161,0.42025236763725216,-4.548035116129305,-3.860319026126156,-3.5720025231032047,-3.3171288327420463,-2.9642237822477164,1.0005932485480058,3000,loglik[26]
-4.7316234314955485,0.6088709130074217,-6.158910796710183,-5.0844187829234935,-4.633445583236041,-4.308244070969295,-3.783172414139074,1.0007441985075003,3000,loglik[27]
-2.335399544822433,0.17018344021789675,-2.6739987825373084,-2.446927088750455,-2.3344363707146556,-2.2197064263399495,-2.013886537146744,1.0007475063916913,3000,loglik[28]
0.14707049451120566,0.11316157577220033,0.004958299551248701,0.05320460789989908,0.12414196851961143,0.2155448689262408,0.4157438383270677,1.0013049633664701,2500,p.global[1]
0.10160783400352691,0.08463559590869142,0.004110161655260259,0.03584242216734823,0.08188517735573798,0.14411788823294006,0.31470715624738754,1.0097326357563392,730,p.global[2]
0.7513216714852674,0.12195604514638889,0.48457396398627267,0.6752129580809532,0.7619031491620131,0.8423286496116137,0.9500725885656508,1.0005727674089462,3000,p.global[3]
2.3659110030583834,1.4435598340044915,0.8338774592522099,1.4195414367323278,1.9958779098731447,2.8116179091805336,6.320875039303337,1.0008880379412828,3000,resid.prop[1]
3.7612152062643958,1.610658121565413,1.5186380646411541,2.6318429810132993,3.468437730684048,4.529942535217485,7.591935870656786,1.0008776739216514,3000,resid.prop[2]
