parameter,Rhat,ESS,screen_pass
deviance,1.0014811468948668,3060.581022366965,TRUE
loglik[1],1.000568732720959,3000.000000000001,TRUE
loglik[2],1.000670646717441,3125.901896284722,TRUE
loglik[3],1.0016978090578397,2907.591808163036,TRUE
loglik[4],0.9998231234162014,3454.896908820422,TRUE
loglik[5],1.0001166976406923,2990.500408324358,TRUE
loglik[6],0.9998340363739361,2943.7006614065003,TRUE
loglik[7],1.0008148716835823,3105.5840152587225,TRUE
loglik[8],1.000440008564357,3000.000000000002,TRUE
loglik[9],1.0008952086180227,3078.369214863935,TRUE
p.global[1],1.0004568933893476,3936.7334548185727,TRUE
p.global[2],1.0004568933893476,3936.7334548185718,TRUE
resid.prop[1],1.0039964679702846,2308.021606769792,TRUE
resid.prop[2],1.0113304011267898,3238.6017498481006,FALSE
