parameter,Rhat,ESS,screen_pass
deviance,1.0000190169721135,2773.8286280804896,TRUE
loglik[1],1.0008920735899203,2871.0569908783427,TRUE
loglik[2],1.0013207354798548,3091.0786080721227,TRUE
loglik[3],0.999877319052846,3000.0000000000014,TRUE
loglik[4],1.0003349824564607,2994.8281506260482,TRUE
loglik[5],1.0008390282178947,2995.479660000604,TRUE
loglik[6],0.999859339945685,2907.9368896254864,TRUE
loglik[7],0.9997445952419994,3000.0000000000014,TRUE
loglik[8],1.0009018715984108,3015.619966209995,TRUE
loglik[9],1.0005074064697848,3000,TRUE
loglik[10],1.0008300087235968,2774.4926842219115,TRUE
p.global[1],1.0001920419081929,2478.238920357706,TRUE
p.global[2],0.9999530860041268,2269.1281489067533,TRUE
p.global[3],1.0003831058946544,2296.018648863442,TRUE
resid.prop[1],1.0450117616904044,3000,FALSE
resid.prop[2],1.0020060119815746,2889.838802788407,TRUE
