parameter,Rhat,ESS,screen_pass
deviance,1.0018834422066853,2699.155686258402,TRUE
loglik[1],1.001038960591154,3199.447366678445,TRUE
loglik[2],0.9999151237043253,2908.6430503808187,TRUE
loglik[3],0.9998291696987777,2981.259985200874,TRUE
loglik[4],0.9996407333500283,3152.644105953141,TRUE
loglik[5],0.9999469206149985,3132.958292600564,TRUE
loglik[6],1.000524096617655,3000,TRUE
loglik[7],1.0004165414132087,3236.4851142371585,TRUE
loglik[8],1.0006570442366105,2957.194516746023,TRUE
loglik[9],1.0008136940170762,2953.1339527135024,TRUE
loglik[10],0.9998893163329026,2882.859464287643,TRUE
loglik[11],0.9999544050388195,3357.600926682707,TRUE
loglik[12],1.000735302597002,2604.315420466668,TRUE
loglik[13],0.9997468640183607,3475.9212280111315,TRUE
loglik[14],1.000342471087402,3250.7202875281614,TRUE
loglik[15],1.0002746155379896,3000.0000000000014,TRUE
loglik[16],1.000326017463328,2862.7737074700076,TRUE
loglik[17],1.0003637248027353,2999.999999999999,TRUE
loglik[18],1.0001098136572222,2921.8855809335682,TRUE
loglik[19],1.0011261771639712,3240.019944625848,TRUE
loglik[20],1.0005100996769396,2958.6559855420437,TRUE
loglik[21],1.0002447234132557,2999.9999999999995,TRUE
loglik[22],1.000359044335391,3257.3077703153594,TRUE
loglik[23],1.000821556722879,2836.4502603409983,TRUE
loglik[24],1.0006823057566103,3111.5665486773487,TRUE
loglik[25],1.0013035264930499,2841.0389151711092,TRUE
loglik[26],0.9997252582069848,2884.177567374899,TRUE
loglik[27],1.0003999329320017,2849.4233537589553,TRUE
loglik[28],1.0001470686411846,3100.351403861807,TRUE
p.global[1],1.0002710982449559,1763.245635918091,TRUE
p.global[2],1.0010347101409958,2575.666685685819,TRUE
p.global[3],0.999728950722869,2201.063610534934,TRUE
resid.prop[1],1.0014919909447249,2843.6286863646883,TRUE
resid.prop[2],0.9999846484617998,2999.9999999999986,TRUE
