parameter,Rhat,ESS,screen_pass
deviance,1.0015275274892879,2259.4247243694435,TRUE
loglik[1],1.0015718005270116,2583.476692311904,TRUE
loglik[2],1.0008918788526695,2978.464453975658,TRUE
loglik[3],1.0023588750497903,2768.208610255169,TRUE
loglik[4],1.000805392254653,2993.649980622303,TRUE
loglik[5],1.0011941883267323,2594.1793601742206,TRUE
loglik[6],1.0007996782857433,2866.3700885386556,TRUE
loglik[7],1.001286792546453,2556.7805139019856,TRUE
loglik[8],1.0009497855093203,2681.539848474493,TRUE
loglik[9],1.0004346473649406,3000.000000000002,TRUE
loglik[10],1.0014547390280795,2561.2364330516925,TRUE
loglik[11],1.0001661958394628,2789.5126308972604,TRUE
loglik[12],1.0000944924895065,3032.006066653653,TRUE
loglik[13],1.0011229453795831,2964.6444147390416,TRUE
loglik[14],1.0003973013878882,2784.5077331266975,TRUE
loglik[15],0.9998704215234974,2868.922951139156,TRUE
loglik[16],1.0005799632459003,2864.2239692507774,TRUE
loglik[17],1.0013692794653963,2588.9247144630076,TRUE
loglik[18],1.0010265046788984,2999.9999999999995,TRUE
loglik[19],1.000658508682377,2483.31374712368,TRUE
loglik[20],1.0000026070047394,3100.489052058568,TRUE
loglik[21],1.0004964890394212,2811.6097940046634,TRUE
loglik[22],1.000100431906923,3115.9535363361956,TRUE
loglik[23],1.0008391831245846,2416.7115573898936,TRUE
loglik[24],0.9998130241595583,2877.4052701172204,TRUE
loglik[25],1.001104280580814,2955.1014927329848,TRUE
loglik[26],1.0009887389255314,2895.085638041871,TRUE
loglik[27],0.9998162068177345,2528.430519204141,TRUE
p.global[1],1.002549217091331,578.7538317859363,TRUE
p.global[2],1.0073813786895411,850.2155586723287,TRUE
p.global[3],1.0042248435247605,669.5746809528761,TRUE
p.global[4],1.0056354519905262,611.5860778151849,TRUE
resid.prop[1],1.001602177189028,2450.1676016315514,TRUE
resid.prop[2],1.0079015097144628,1604.5031644552635,TRUE
