Group,Trophic_guild,Species,n,mean_d13C,sd_d13C,mean_d15N,sd_d15N,mean_THg,sd_THg,n_THg
Allochthonous insects,NA,Fish_stomach_content,53,-25.420698113207546,1.7362005000409733,4.656792452830189,2.3962814650916835,NA,NA,0
Allochthonous plants,NA,Fruits,14,-28.99357142857143,3.5330605758983284,5.8,2.533219295678919,NA,NA,0
Allochthonous plants,NA,Seeds,10,-27.384999999999998,2.835580481429978,5.7509999999999994,3.2173814404470806,NA,NA,0
Aquatic macroinvertebrates,NA,Depredadores,9,-32.44866666666667,3.63342947502769,4.783444444444444,1.213209082465911,NA,NA,0
Aquatic macroinvertebrates,NA,Detrit?voros,3,-32.87233333333333,2.8619735032549345,5.333333333333334,0.4480416647292228,NA,NA,0
Aquatic macroinvertebrates,NA,Fish_stomach_content,7,-24.41485714285714,2.117549009946124,5.979285714285714,1.9737201519200327,NA,NA,0
Aquatic macroinvertebrates,NA,Fitoplanct?fago-Detrit?voros,1,-34.618,NA,4.983,NA,NA,NA,0
Aquatic macroinvertebrates,NA,Pol?fagos,1,-25.229,NA,6.401,NA,NA,NA,0
Birds,Aquatic predator,Chloroceryle aenea,2,-35.063500000000005,0.7643824304626551,10.925999999999998,0.11596551211459358,2.3325,0.048790367901871745,2
Birds,FrugiGranivore,Leptotila rufaxilla,2,-27.1325,0.8096372644585966,6.310499999999999,0.40658639918226497,0.1331,0.03761808075912434,2
Birds,FrugiGranivore,Thraupis episcopus,2,-26.151,0.6901362184380697,8.586,0.48648946545634386,2.5685,2.448710783249014,2
Birds,Invertivore,Dendrexetastes rufigula,1,-26.565,NA,7.088,NA,1.441,NA,1
Birds,Invertivore,Dendrocolaptes picumnus,1,-26.446,NA,8.737,NA,0.6066,NA,1
Birds,Invertivore,Dendrocyncla fuliginosa,1,-26.573,NA,8.506,NA,1.433,NA,1
Birds,Invertivore,Elaenia sp.,1,-26.706,NA,8.287,NA,4.587,NA,1
Birds,Invertivore,Pipra filicauda,1,-27.909,NA,7.575,NA,0.8113,NA,1
Birds,Invertivore,Poecilotriccus latirostris,1,-26.618,NA,9.282,NA,NA,NA,0
Birds,Invertivore,Tolmomyias sp.,1,-27.144,NA,8.456,NA,1.783,NA,1
Birds,Invertivore,Tyrannus melancholicus,1,-25.66,NA,9.6,NA,1.019,NA,1
Birds,Invertivore,Xiphorhynchus guttatus,1,-25.4,NA,9.1,NA,1.078,NA,1
Birds,Nectarivore,Amazilia versicolor,3,-26.445333333333334,1.1773785853893104,9.350666666666667,0.637644362739399,1.06525,0.7223095769820583,2
Birds,Nectarivore,Florisuga mellivora,1,-26.052,NA,11.393,NA,1.643,NA,1
Birds,Nectarivore,Glaucis hirsutus,2,-28.362499999999997,0.08273149339882668,10.1645,0.28920667350529716,6.311,5.740292849672392,2
Birds,Nectarivore,Phaethornis atrimentalis,1,-28.734,NA,10.027,NA,22.6,NA,1
Birds,Nectarivore,Phaethornis bourcieri,1,-26.648,NA,8.566,NA,NA,NA,0
Birds,Nectarivore,Phaethornis hispidus,2,-26.8965,2.1517259351506635,8.8115,0.1704127342659577,4.8187,5.5342419336346325,2
Birds,Omnivore,Cacicus cela,2,-25.583,0.03535533905932788,7.515499999999999,0.12798632739476515,0.607325,0.40442972349964584,2
Birds,Omnivore,Monasa nigrifrons,1,-26.95,NA,7.993,NA,0.934,NA,1
Detritus,NA,Fish_stomach_content,66,-26.542439393939393,2.668369038764996,6.141469696969697,2.4103543385836734,NA,NA,0
Fish,Carnivore-piscivore,Ageneiousus brevifilis,1,-30.32,NA,10.18,NA,0.260184,NA,1
