Group,Trophic guild,Species,n,n_THg,d13C mean +/- SD,d15N mean +/- SD,THg mean +/- SD
Allochthonous insects,NA,Fish_stomach_content,53,0,-25.42 +/- 1.74,4.66 +/- 2.4,
Allochthonous plants,NA,Fruits,14,0,-28.99 +/- 3.53,5.8 +/- 2.53,
Allochthonous plants,NA,Seeds,10,0,-27.38 +/- 2.84,5.75 +/- 3.22,
Aquatic macroinvertebrates,NA,Depredadores,9,0,-32.45 +/- 3.63,4.78 +/- 1.21,
Aquatic macroinvertebrates,NA,Detrit?voros,3,0,-32.87 +/- 2.86,5.33 +/- 0.45,
Aquatic macroinvertebrates,NA,Fish_stomach_content,7,0,-24.41 +/- 2.12,5.98 +/- 1.97,
Aquatic macroinvertebrates,NA,Fitoplanct?fago-Detrit?voros,1,0,-34.62,4.98,
Aquatic macroinvertebrates,NA,Pol?fagos,1,0,-25.23,6.4,
Birds,Aquatic predator,Chloroceryle aenea,2,2,-35.06 +/- 0.76,10.93 +/- 0.12,2.332 +/- 0.049
Birds,FrugiGranivore,Leptotila rufaxilla,2,2,-27.13 +/- 0.81,6.31 +/- 0.41,0.133 +/- 0.038
Birds,FrugiGranivore,Thraupis episcopus,2,2,-26.15 +/- 0.69,8.59 +/- 0.49,2.568 +/- 2.449
Birds,Invertivore,Dendrexetastes rufigula,1,1,-26.57,7.09,1.441
Birds,Invertivore,Dendrocolaptes picumnus,1,1,-26.45,8.74,0.607
Birds,Invertivore,Dendrocyncla fuliginosa,1,1,-26.57,8.51,1.433
Birds,Invertivore,Elaenia sp.,1,1,-26.71,8.29,4.587
Birds,Invertivore,Pipra filicauda,1,1,-27.91,7.58,0.811
Birds,Invertivore,Poecilotriccus latirostris,1,0,-26.62,9.28,
Birds,Invertivore,Tolmomyias sp.,1,1,-27.14,8.46,1.783
Birds,Invertivore,Tyrannus melancholicus,1,1,-25.66,9.6,1.019
Birds,Invertivore,Xiphorhynchus guttatus,1,1,-25.4,9.1,1.078
Birds,Nectarivore,Amazilia versicolor,3,2,-26.45 +/- 1.18,9.35 +/- 0.64,1.065 +/- 0.722
Birds,Nectarivore,Florisuga mellivora,1,1,-26.05,11.39,1.643
Birds,Nectarivore,Glaucis hirsutus,2,2,-28.36 +/- 0.08,10.16 +/- 0.29,6.311 +/- 5.74
Birds,Nectarivore,Phaethornis atrimentalis,1,1,-28.73,10.03,22.6
Birds,Nectarivore,Phaethornis bourcieri,1,0,-26.65,8.57,
Birds,Nectarivore,Phaethornis hispidus,2,2,-26.9 +/- 2.15,8.81 +/- 0.17,4.819 +/- 5.534
Birds,Omnivore,Cacicus cela,2,2,-25.58 +/- 0.04,7.52 +/- 0.13,0.607 +/- 0.404
Birds,Omnivore,Monasa nigrifrons,1,1,-26.95,7.99,0.934
Detritus,NA,Fish_stomach_content,66,0,-26.54 +/- 2.67,6.14 +/- 2.41,
Fish,Carnivore-piscivore,Ageneiousus brevifilis,1,1,-30.32,10.18,0.26
Fish,Carnivore-piscivore,Brachyplatystoma vaillantii,1,0,-31.6,11.86,
Fish,Carnivore-piscivore,Calophysus macropterus,2,1,-25.57 +/- 0.66,10.87 +/- 0.08,0.377
Fish,Carnivore-piscivore,Electrophorus electricus,1,1,-34.9,7.83,0.372
